date,impressions,clicks,conversions,call_type,call_status,start_time,duration,end_time,impression_share,conversions_calls,cost_zar,headline1_len,headline2_len,ad_description_len,EXPANDED_TEXT_AD,EXPANDED_DYNAMIC_SEARCH_AD,RESPONSIVE_SEARCH_AD
2020-01-05,2134.0,246.0,0.0,0,0,0,0.0,0,590.875094078231,0.0,46715.0,2.0,4.0,12.0,True,False,False
2020-01-12,3463.0,410.0,0.0,0,0,0,0.0,0,991.3189169721209,0.0,69443.0,2.0,4.0,12.0,True,False,False
2020-01-19,4074.0,405.0,0.0,0,0,0,0.0,0,1207.390413022819,0.0,67481.0,2.0,3.0,12.0,True,True,False
2020-01-26,4544.0,445.0,0.0,0,0,0,0.0,0,1246.425680876285,0.0,67422.0,2.0,3.0,12.0,True,True,False
2020-02-02,4822.0,450.0,0.0,0,0,0,0.0,0,1194.3672351133587,0.0,65477.0,2.0,3.0,12.0,True,True,False
2020-02-09,5490.0,508.0,0.0,0,0,0,0.0,0,1413.2831468309698,0.0,72581.0,2.0,3.0,12.0,True,True,False
2020-02-16,5277.0,503.0,0.0,0,0,0,0.0,0,1346.5598169468942,0.0,70600.0,2.0,3.0,12.0,True,True,False
2020-02-23,5174.0,495.0,0.0,0,0,0,0.0,0,1236.1665644788657,0.0,70251.0,2.0,3.0,12.0,True,True,False
2020-03-01,5054.0,482.0,0.0,0,0,0,0.0,0,1107.8253916690396,0.0,67240.0,2.0,3.0,12.0,True,True,False
2020-03-08,5097.0,511.0,0.0,0,0,0,0.0,0,1235.4722262173743,0.0,66942.0,2.0,3.0,12.0,True,True,False
2020-03-15,4567.0,464.0,0.0,0,0,0,0.0,0,1190.4799725592416,0.0,65918.0,2.0,3.0,12.0,True,True,False
2020-03-22,4119.0,426.0,0.0,0,0,0,0.0,0,1230.8842375290824,0.0,67842.0,2.0,3.0,12.0,True,True,False
2020-03-29,3643.0,354.0,0.0,0,0,0,0.0,0,1078.9599960202672,0.0,64570.0,2.0,3.0,12.0,True,True,False
2020-04-05,3125.0,364.0,0.0,0,0,0,0.0,0,1159.3715720332486,0.0,69665.0,2.0,3.0,12.0,True,True,False
2020-04-12,2781.0,326.0,0.0,0,0,0,0.0,0,1053.9666261494954,0.0,66854.0,2.0,3.0,12.0,True,True,False
2020-04-19,3057.0,359.0,0.0,0,0,0,0.0,0,1282.7199806872195,0.0,68948.0,2.0,3.0,12.0,True,True,False
2020-04-26,3715.0,397.0,0.0,0,0,0,0.0,0,1586.1886410793622,0.0,68184.0,2.0,3.0,12.0,True,True,False
2020-05-03,4269.0,475.0,0.0,0,0,0,0.0,0,1995.6658069017387,0.0,67728.0,2.0,3.0,12.0,True,True,False
2020-05-10,3988.0,480.0,0.0,0,0,0,0.0,0,1651.284977093611,0.0,63621.0,2.0,3.0,12.0,True,True,False
2020-05-17,5093.0,594.0,0.0,0,0,0,0.0,0,1855.8308651109023,0.0,70859.0,2.0,3.0,12.0,True,True,False
2020-05-24,5338.0,526.0,0.0,0,0,0,0.0,0,2051.871085967678,0.0,63407.0,2.0,3.0,12.0,True,True,False
2020-05-31,4727.0,472.0,0.0,0,0,0,0.0,0,1848.9952630736072,0.0,61843.0,2.0,3.0,12.0,True,True,False
2020-06-07,4953.0,561.0,0.0,0,0,0,0.0,0,1935.6256408986217,0.0,70773.0,2.0,3.0,12.0,True,True,False
2020-06-14,4748.0,480.0,0.0,0,0,0,0.0,0,1819.782576351276,0.0,68951.0,2.0,3.0,12.0,True,True,False
2020-06-21,4781.0,483.0,0.0,0,0,0,0.0,0,2062.1157916826514,0.0,68672.0,2.0,3.0,12.0,True,True,False
2020-06-28,4185.0,477.0,0.0,0,0,0,0.0,0,1738.3552317088179,0.0,65206.0,2.0,3.0,12.0,True,True,False
2020-07-05,4771.0,441.0,1.0,0,0,0,0.0,0,1631.7508523563383,9.0,67614.0,2.0,3.0,12.0,True,True,False
2020-07-12,4180.0,441.0,1.0,0,0,0,0.0,0,1426.9436901005377,10.0,64501.0,2.0,3.0,12.0,True,True,False
2020-07-19,3834.0,385.0,0.0,0,0,0,0.0,0,1334.4359157107424,0.0,71061.0,2.0,3.0,12.0,True,True,False
2020-07-26,4458.0,440.0,0.0,0,0,0,0.0,0,1298.3255196079124,0.0,61388.0,2.0,3.0,12.0,True,True,False
2020-08-02,4929.0,492.0,0.0,0,0,0,0.0,0,1748.8600887925804,0.0,64661.0,2.0,3.0,12.0,True,True,False
2020-08-09,5041.0,483.0,0.0,0,0,0,0.0,0,1759.0376082783546,0.0,65863.0,2.0,3.0,12.0,True,True,False
2020-08-16,4828.0,487.0,0.0,0,0,0,0.0,0,1527.57621772789,0.0,67034.0,2.0,3.0,12.0,True,True,False
2020-08-23,5017.0,528.0,0.0,0,0,0,0.0,0,1452.8249014528797,0.0,65691.0,2.0,3.0,12.0,True,True,False
2020-08-30,5461.0,520.0,0.0,0,0,0,0.0,0,1740.4518998253475,0.0,64111.0,2.0,3.0,12.0,True,True,False
2020-09-06,5284.0,579.0,0.0,0,0,0,0.0,0,1740.5915761994863,0.0,68230.0,2.0,3.0,12.0,True,True,False
2020-09-13,5579.0,555.0,0.0,0,0,0,0.0,0,1886.308018670919,0.0,68303.0,2.0,3.0,12.0,True,True,False
2020-09-20,5636.0,598.0,0.0,0,0,0,0.0,0,2426.3959814781583,0.0,67078.0,2.0,3.0,12.0,True,True,False
2020-09-27,5398.0,567.0,0.0,0,0,0,0.0,0,2107.5775548207666,0.0,69700.0,2.0,3.0,12.0,True,True,False
2020-10-04,6117.0,642.0,0.0,0,0,0,0.0,0,2128.609909616149,0.0,64883.0,2.0,3.0,12.0,True,True,False
2020-10-11,5977.0,622.0,0.0,0,0,0,0.0,0,1785.9184230828632,0.0,66784.0,2.0,3.0,12.0,True,True,False
2020-10-18,6293.0,619.0,0.0,0,0,0,0.0,0,2014.2325127925922,0.0,66057.0,2.0,3.0,12.0,True,True,False
2020-10-25,6356.0,610.0,1.0,0,0,0,0.0,0,2031.021699281005,10.0,68228.0,2.0,3.0,12.0,True,True,False
